id,race_id,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps,status,fastest_lap_time
8437,398,562,77,10,5,5,10.0,65,+1 Lap,1:26.276
8438,398,373,170,13,6,6,8.0,65,+1 Lap,1:26.703
8439,398,668,200,12,7,7,6.0,65,+1 Lap,1:26.186
8440,398,807,172,15,8,8,4.0,65,+1 Lap,1:26.476
8441,398,421,200,19,9,9,2.0,65,+1 Lap,1:25.976
8442,398,315,83,14,10,10,1.0,65,+1 Lap,1:26.871
8443,398,231,172,16,11,11,0.0,64,+2 Laps,1:26.213
8444,398,17,135,7,12,12,0.0,64,+2 Laps,1:23.894
8445,398,496,212,9,13,13,0.0,64,+2 Laps,1:26.472
8446,398,480,83,11,14,14,0.0,64,+2 Laps,1:26.371
8447,398,572,170,17,15,15,0.0,64,+2 Laps,1:24.843
8448,398,735,212,18,16,16,0.0,64,+2 Laps,1:26.838
8449,398,101,140,3,17,R,0.0,38,Power Unit,1:24.696
8450,398,784,135,20,18,R,0.0,32,Collision,1:27.554
8451,398,788,169,5,19,R,0.0,1,Collision damage,
8452,398,665,73,4,20,R,0.0,,Collision damage,
8453,399,789,73,2,1,1,25.0,78,Finished,1:15.238
8454,399,665,73,1,2,2,18.0,78,Finished,1:15.527
8455,399,638,169,5,3,3,15.0,78,Finished,1:15.756
8456,399,101,140,3,4,4,12.0,78,Finished,1:16.439
8457,399,788,169,4,5,5,10.0,78,Finished,1:16.329
8458,399,668,200,6,6,6,8.0,78,Finished,1:16.649
8459,399,331,140,13,7,7,6.0,78,Finished,1:15.825
8460,399,315,83,8,8,8,4.0,78,Finished,1:17.095
8461,399,496,212,14,9,9,2.0,78,Finished,1:16.543
8462,399,480,83,11,10,10,1.0,78,Finished,1:16.313
8463,399,572,170,16,11,11,0.0,78,Finished,1:16.614
8464,399,562,77,15,12,12,0.0,78,Finished,1:16.482
8465,399,618,77,7,13,13,0.0,78,Finished,1:14.820
8466,399,421,200,9,14,14,0.0,71,Collision damage,1:16.539
8467,399,735,212,17,15,15,0.0,71,Brakes,1:16.075
8468,399,784,135,12,16,R,0.0,66,Accident,1:16.665
8469,399,231,172,19,17,R,0.0,63,Accident,1:16.829
8470,399,137,135,20,18,R,0.0,57,Collision damage,1:16.912
8471,399,807,172,18,19,R,0.0,57,Collision,1:18.034
8472,399,373,170,10,20,R,0.0,15,Gearbox,1:17.885
8473,400,331,140,1,1,1,25.0,70,Finished,1:14.551
8474,400,101,140,3,2,2,18.0,70,Finished,1:15.894
8475,400,638,169,6,3,3,15.0,70,Finished,1:16.165
8476,400,789,73,2,4,4,12.0,70,Finished,1:14.719
8477,400,618,77,8,5,5,10.0,70,Finished,1:16.367
8478,400,562,77,9,6,6,8.0,70,Finished,1:16.247
8479,400,665,73,4,7,7,6.0,70,Finished,1:15.388
8480,400,373,170,10,8,8,4.0,70,Finished,1:16.136
8481,400,735,212,17,9,9,2.0,69,+1 Lap,1:15.979
8482,400,315,83,14,10,10,1.0,69,+1 Lap,1:16.949
8483,400,572,170,15,11,11,0.0,69,+1 Lap,1:16.704
8484,400,480,83,18,12,12,0.0,69,+1 Lap,1:16.341
8485,400,231,172,19,13,13,0.0,69,+1 Lap,1:16.995
8486,400,784,135,16,14,14,0.0,69,+1 Lap,1:16.774
8487,400,807,172,20,15,15,0.0,68,+2 Laps,1:17.091
8488,400,17,135,12,16,16,0.0,66,Power Unit,1:15.853
8489,400,421,200,11,17,R,0.0,54,Power Unit,1:16.713
8490,400,788,169,5,18,R,0.0,10,Electrical,1:17.187
8491,400,496,212,7,19,R,0.0,,Collision,
8492,400,668,200,13,20,R,0.0,,Collision,
8493,401,638,169,10,1,1,25.0,51,Finished,1:44.882
8494,401,101,140,2,2,2,18.0,51,Finished,1:43.925
8495,401,735,212,8,3,3,15.0,51,Finished,1:45.108
8496,401,789,73,4,4,4,12.0,51,Finished,1:43.441
8497,401,331,140,1,5,5,10.0,51,Finished,1:43.469
8498,401,562,77,7,6,6,8.0,51,Finished,1:45.634
8499,401,480,83,12,7,7,6.0,51,Finished,1:46.312
8500,401,668,200,15,8,8,4.0,51,Finished,1:45.866
8501,401,17,135,19,9,9,2.0,51,Finished,1:45.168
8502,401,807,172,14,10,10,1.0,51,Finished,1:47.120
8503,401,231,172,17,11,11,0.0,51,Finished,1:47.186
8504,401,784,135,18,12,12,0.0,51,Finished,1:46.648
8505,401,315,83,16,13,13,0.0,50,+1 Lap,1:46.831
8506,401,665,73,3,14,14,0.0,46,Water pressure,1:45.542
8507,401,618,77,6,15,R,0.0,39,Seat,1:45.588
8508,401,496,212,9,16,R,0.0,25,Suspension,1:47.340
8509,401,373,170,13,17,R,0.0,24,Accident,1:48.536
8510,401,788,169,5,18,R,0.0,12,Oil pressure,1:46.398
8511,401,421,200,11,19,R,0.0,9,Battery,1:48.394
8512,401,572,170,20,20,R,0.0,7,Power Unit,1:51.673
